ac_number,constituency,sl_no,candidate_name,party,symbol,symbol_image_url,father_husband,age,sex,address,category
1,Gummidipoondi,1,T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,Rising sun,,,,,,
1,Gummidipoondi,2,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,Two leaves,,,,,,
1,Gummidipoondi,3,M.JAGADEESAN,Bahujan Samaj Party,Elephant,,,,,,
1,Gummidipoondi,4,R.SRIDAR. B.L.,Naam Tamilar Katchi,Farmer Carrying Plough,,,,,,
1,Gummidipoondi,5,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder,,,,,,
1,Gummidipoondi,6,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Pestle and mortar,,,,,,
1,Gummidipoondi,7,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,Whistle,,,,,,
1,Gummidipoondi,8,M.KUMARAN,Independent,Diamond,,,,,,
1,Gummidipoondi,9,GOPAL.K,Independent,Letter box,,,,,,
1,Gummidipoondi,10,T.GOVINDAN,Independent,Ship,,,,,,
1,Gummidipoondi,11,A.H. SIVA GANESH,Independent,Batsman,,,,,,
1,Gummidipoondi,12,D.SUDHAKAR,Independent,Peas,,,,,,
1,Gummidipoondi,13,V.SUDHAKAR,Independent,Water melon,,,,,,
1,Gummidipoondi,14,D.DINESH,Independent,Road roller,,,,,,
1,Gummidipoondi,15,G.RANJITH B.SC.L.L.B,Independent,Crane,,,,,,
2,Ponneri,1,DURAI CHANDRASEKAR,Indian National Congress,Hand,,,,,,
2,Ponneri,2,SANTHOSHKUMAR.J,Bahujan Samaj Party,Elephant,,,,,,
2,Ponneri,3,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,Two leaves,,,,,,
2,Ponneri,4,RAJATHI.M,Naam Tamilar Katchi,Farmer Carrying Plough,,,,,,
2,Ponneri,5,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,Football player,,,,,,
2,Ponneri,6,RAJA.S,Vanchit Bahujan Aaghadi,Gas cylinder,,,,,,
2,Ponneri,7,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,Camera,,,,,,
2,Ponneri,8,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,Matchbox,,,,,,
2,Ponneri,9,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,Whistle,,,,,,
